age_yrBP,warming_count_20k,cold_fraction_20k,mean_cold_duration_yr,mean_warm_duration_yr,pre_phase_like,lr04_10k,co2_10k,mean_cold_duration_kyr_raw,mean_cold_duration_kyr,Time
732000.0,6.0,0.5361596009975063,1791.6666666666667,1280.0,-0.022251837895700715,4.1425,211.64706776022254,1.7916666666666667,1.7916666666666667,58
731000.0,6.0,0.5361596009975063,1791.6666666666667,1280.0,-0.014974717056907965,4.1555,211.03802249195732,1.7916666666666667,1.7916666666666667,59
730000.0,6.0,0.5361596009975063,1791.6666666666667,1280.0,-0.0060574982285983075,4.1765,210.59507890394417,1.7916666666666667,1.7916666666666667,60
729000.0,6.0,0.5511221945137157,1980.0,1500.0,0.003350193834064243,4.2055,210.88781389353372,1.98,1.98,61
728000.0,5.0,0.571072319201995,1980.0,1550.0,0.01238353185303314,4.2515,211.2882540555085,1.98,1.98,62
727000.0,5.0,0.6134663341645885,1787.5,1550.0,0.02018615591345795,4.314500000000001,211.84929925307114,1.7875,1.7875,63
726000.0,6.0,0.5910224438902744,2050.0,1550.0,0.025978959841713972,4.371,212.62742129615066,2.05,2.05,64
725000.0,6.0,0.5411471321695761,2050.0,1550.0,0.029201655841470067,4.421000000000001,212.62365042951737,2.05,2.05,65
724000.0,5.0,0.5112219451371571,2050.0,1275.0,0.029574717525135193,4.4755,211.18423910507923,2.05,2.05,66
723000.0,5.0,0.5112219451371571,2050.0,1710.0,0.027070711241435376,4.5345,209.18216547735733,2.05,2.05,67
722000.0,6.0,0.5486284289276808,1766.6666666666667,1466.6666666666667,0.021968782587160837,4.5785,208.47762992278632,1.7666666666666668,1.7666666666666668,68
721000.0,6.0,0.5610972568578554,1200.0,1466.6666666666667,0.014777531569930329,4.6075,209.29893902609803,1.2,1.2,69
720000.0,7.0,0.5236907730673317,1275.0,1466.6666666666667,0.00620001029894714,4.6145000000000005,210.62419793972367,1.275,1.275,70
719000.0,7.0,0.47381546134663344,1275.0,1466.6666666666667,-0.0030142124035895776,4.599500000000001,212.0115918758564,1.275,1.275,71
