age_yrBP,co2_1k,co2_10k
361000.0,186.04964963689645,194.61486612016972
362000.0,185.89039368072366,194.0509462882767
363000.0,188.33903905621455,194.171798257759
364000.0,194.21100727132642,194.97742202861667
365000.0,200.08297548643833,196.17835748585514
366000.0,202.63612688521263,197.66006817456005
367000.0,204.40962662614265,199.29624307056795
368000.0,206.18312636707267,200.8379174486371
369000.0,205.06202495805692,202.03819031187476
370000.0,203.73671177751618,203.0665839707844
371000.0,202.4113985969754,204.35495465340767
372000.0,201.30713746141546,205.99157449761364
373000.0,200.3417676885911,207.99174521349877
374000.0,204.49494386042247,210.11311913495905
375000.0,212.9666823126711,212.551972036283
376000.0,219.00232532727247,215.06102474552435
377000.0,224.411333784994,217.6402772626831
378000.0,227.39686558167537,220.26762438326122
379000.0,229.4505539712964,222.98822725227765
380000.0,228.82723886992974,226.09304016776795
381000.0,228.2039237685631,228.77329903054496
382000.0,227.58060866719646,230.79785791165045
383000.0,227.5477963787552,232.62461273674518
384000.0,235.5430730153259,234.55387621610785
385000.0,239.76927094044083,236.21469489412692
386000.0,239.24791413832762,238.16412133846347
387000.0,242.67888203594111,240.60340128164384
388000.0,246.68950037530206,243.53253472366805
389000.0,246.0587407514871,246.7591385512754
390000.0,248.32150331329504,250.55976161301095
391000.0,252.59672320036694,252.69631276732215
392000.0,256.87194308743886,255.34804168398705
393000.0,259.81383465482844,258.1197158930329
394000.0,273.54930363268164,260.95337035028496
395000.0,261.1347824835531,264.01261955858354
396000.0,265.7652033049763,266.94792421268085
397000.0,270.39562412639947,270.00622569043907
398000.0,275.0260449478226,272.6300162305009
399000.0,276.65123283447315,274.2263475189387
400000.0,277.6745498542683,274.50417296104206
401000.0,283.17973797794883,276.40726216658516
402000.0,283.10984848805737,277.82374615991614
403000.0,275.7771475392063,279.1150383150763
404000.0,276.32755805371505,280.1210574375201
405000.0,280.1656745389844,280.67802611417267
406000.0,279.9300432382856,280.7515467747846
407000.0,283.3085456780011,280.7485491187295
408000.0,285.0862361722609,280.49408517469215
409000.0,282.22091960099857,280.5227909331691
410000.0,278.4097564603881,279.6014794293874
411000.0,283.1497614173976,278.6207003526888
412000.0,280.5652090476839,278.21440299773025
413000.0,276.0642051239758,277.149788996869
414000.0,267.11444301589825,275.84322667944633
415000.0,270.357883771998,275.03954330457316
416000.0,275.8670696887003,274.37849955595686
417000.0,272.66240566938916,273.3153961515952
418000.0,272.020612998034,272.08772662985547
419000.0,274.1840858522666,271.4046102051423
420000.0,271.7993189742253,271.5780002617586
421000.0,272.51872737378113,271.3595050089219
422000.0,268.2885138302859,270.81103979829356
423000.0,269.2330408768446,269.36822493950467
424000.0,268.84834358206024,267.3507364033861
425000.0,268.1729312436314,264.48297301413805
426000.0,270.38241758241765,260.5379056939938
427000.0,258.2342570815,255.28539303622406
428000.0,251.84572763684855,251.06016213938838
429000.0,245.50645195978592,246.0857664455773
430000.0,232.3486457727829,240.2405182096892
431000.0,219.9936007960831,234.2707570656602
432000.0,226.036204861929,228.2035414792705
433000.0,219.48908393873432,223.20234467190267
434000.0,210.39586122317948,218.5329817250168
435000.0,208.47531980334125,214.04127258157877
436000.0,209.71026171852043,210.9185558815972
437000.0,208.22228900782181,209.0805293179023
438000.0,205.15209816799023,206.61278400094952
439000.0,200.5893605254052,204.8272398842336
440000.0,201.12147877296704,203.95735816509787
441000.0,201.61333515913398,203.0845173832901
442000.0,201.3587516924015,202.09430327193314
443000.0,201.63364277157513,201.35884924833044
444000.0,201.69704403182214,201.1047655312382
445000.0,199.7469119852632,201.619578497536
446000.0,199.8081206049513,202.06129817350308
447000.0,200.86774877179465,202.05379691898227
448000.0,202.61126099706777,202.13251092773024
449000.0,205.73749018838316,202.38293138898547
450000.0,205.53867553263785,202.33109733040047
451000.0,201.53832261392577,202.13555835270486
452000.0,202.14589177988114,201.4854692145937
453000.0,204.1378473841278,200.65692107146793
454000.0,201.17870344597208,200.59194398644277
455000.0,197.7915222083069,200.59486744020745
456000.0,193.30722922384007,200.423990935753
457000.0,192.58226734053682,200.01107815731615
458000.0,201.96149014681595,199.04269640758943
459000.0,205.76672472603008,197.89376382366817
460000.0,203.82991048809353,197.4585644805625
461000.0,197.40919482955735,197.98820239734656
462000.0,192.46207428261388,199.58405230317172
463000.0,192.64852154491504,201.00919021115516
464000.0,196.82671001491514,201.2279907374256
465000.0,203.08790137614758,201.01341108073925
466000.0,209.26572828209163,201.17317072406067
467000.0,206.83364642037148,202.60165388326476
468000.0,204.1494954095205,205.64557415339203
469000.0,203.62092815916637,210.07492712710587
470000.0,205.42750692130787,214.89839333975146
471000.0,211.69402642159787,218.6875531161113
472000.0,222.90127698388704,221.06879016492735
473000.0,236.94205128205314,223.68467088205085
474000.0,245.06137214137104,226.94522382213273
475000.0,240.9794991397461,230.43835972248434
476000.0,233.07809877025184,232.599402077074
477000.0,232.9924535916068,233.4559576447197
478000.0,236.7550248103392,233.53114426599822
479000.0,238.55228716268257,232.37760285757054
480000.0,227.03793046720472,230.91749259298794
481000.0,220.25958209805435,229.95779743782037
482000.0,223.65314319667266,229.85183951702862
483000.0,225.40663719777618,229.84436335800729
484000.0,230.4602694955453,229.42169726149973
485000.0,231.38254758807003,229.5655219822301
486000.0,232.0185195623344,232.03965229230812
487000.0,232.91769200139368,234.29966352286232
488000.0,232.5283638452631,236.52965418630893
489000.0,239.9905343699867,238.28427881620723
490000.0,251.77923356798468,239.17373472041703
491000.0,242.85969440359688,239.8681469409093
492000.0,245.95304983113877,240.48192882195184
493000.0,242.95288349675906,240.86044033386256
494000.0,239.3548285376429,241.24128520758524
495000.0,238.32666979299267,240.44904876931977
496000.0,238.1563383727599,238.34329040434187
497000.0,236.70280712050075,236.9053382315122
498000.0,236.3368125824902,235.39717437664348
499000.0,232.06816998733206,234.25899012042595
500000.0,230.7216499182052,233.5388337315374
501000.0,228.48017267530017,233.11388266988814
502000.0,230.8714112824518,232.75144056068152
503000.0,231.5710409345838,232.66231029110932
504000.0,232.1532646487575,232.81646960842596
505000.0,234.07715917650015,233.33272843907662
506000.0,234.53191728069373,234.11950986684366
507000.0,235.81150442477883,234.7327566917601
508000.0,237.87840575565622,235.2168925621623
509000.0,237.23075829383862,236.0942357798499
510000.0,238.58946419587568,236.71410019599722
511000.0,234.61264092446444,237.26998383757254
512000.0,235.71276998647383,238.0348046051754
513000.0,240.34447311145988,239.08497246836995
514000.0,238.3519088102309,239.90515153575112
515000.0,239.63599559225358,240.72110939180348
516000.0,242.1801249567216,241.60850656087376
517000.0,246.31318305672454,242.64989244024474
518000.0,246.0801964294678,243.39804803309752
519000.0,245.39033685436246,243.61119911983133
520000.0,247.46343588657876,243.83458553288514
521000.0,245.02649971817405,243.49497309513563
522000.0,243.19432591500174,242.67614241764522
523000.0,242.4759839787981,241.04238049954483
524000.0,240.58577294076878,239.10017281481106
525000.0,236.23987121475813,236.92213098240123
526000.0,233.9918181818179,234.34491083602583
527000.0,229.9755638757208,231.89215866451983
528000.0,226.65811958212973,229.63913547571505
529000.0,223.60991853026448,226.51618560973165
530000.0,221.69123442282492,222.41249059447986
531000.0,220.49897800311376,218.1835901726069
532000.0,220.66409402695376,214.42106248410786
533000.0,211.24648531896386,211.37507954730646
534000.0,199.54882278825144,208.9861548125758
535000.0,193.95086699602862,207.1981257844502
536000.0,196.36654129682717,205.96434643732496
537000.0,199.51573450770678,205.13832629206883
538000.0,202.76887223482296,203.99435142360974
539000.0,205.72962824900887,203.33677789034178
540000.0,209.3534409515725,203.80894609351714
541000.0,212.23877655055205,205.2494821573768
542000.0,209.22434534236308,206.6330310867658
543000.0,204.67074998628416,207.64319699848957
544000.0,204.2705048200053,208.23404431698708
545000.0,208.35622763462533,208.0703752867747
546000.0,210.20203059071727,207.73036020457826
547000.0,209.61739362494416,207.95012553677256
548000.0,208.67734541979817,208.9461667186011
549000.0,204.09293794688492,210.70539275222615
550000.0,205.95329012960795,212.40245169222385
551000.0,214.43642987249547,213.98049809565123
552000.0,219.18475716064813,215.83131422689408
553000.0,222.26301032253465,219.0252896217453
554000.0,221.24109421998256,222.95695564299453
555000.0,224.136691668899,226.20899192418818
556000.0,228.71019190314559,228.63592145410297
557000.0,241.55714757345666,230.04567792717722
558000.0,247.99400563229057,231.38874355316898
559000.0,236.61330075882148,233.0036121404002
560000.0,230.22258542875565,235.45138694393253
561000.0,228.5339946032375,238.05322901299775
562000.0,232.6154134205661,240.40639535324095
563000.0,238.41169619484714,241.67051074611794
564000.0,245.71884225530567,242.21634957084547
565000.0,250.15511235955086,243.80414330869098
566000.0,252.24185530557773,245.80469149488195
567000.0,254.19830150222694,248.1312920345582
568000.0,253.45239387956568,250.02010405837444
569000.0,252.49123813727675,250.92583575396142
570000.0,250.2280672906651,251.28469063834228
571000.0,251.8,251.4652356856293
572000.0,251.50353365872843,251.40481385025063
573000.0,247.4690131507172,251.15034862133462
574000.0,249.30739109911406,250.9225358289827
575000.0,251.96056283242103,250.7641997989691
576000.0,251.63763695179128,250.56441482417114
577000.0,251.65364921306673,248.64031811989116
578000.0,251.17426595604627,245.37718186877123
579000.0,250.9078778371407,241.54758890157973
580000.0,248.23021754268552,237.7006182841855
581000.0,232.5590329572003,234.07053217226544
582000.0,218.87217114752946,230.95494032721322
583000.0,209.1730834788023,228.31131637644452
584000.0,210.83768492517174,226.7588894871491
585000.0,215.65970171322027,226.34977325361643
586000.0,220.4817185012688,226.3509279931772
587000.0,225.21740970537988,226.85543818314977
588000.0,235.6499970630918,227.8649946147447
