age_yrBP,pre,ecc,ecc_safe,pre_envelope_proxy,pre_phase_like_raw,pre_phase_like,pre_phase_like_z,pre_z,pre_deamp_unit
11800.0,-0.019558,0.019615,0.019615,0.7099167571480276,-0.027549708896252863,-0.029687132751107827,-1.4238381348192939,-0.93777223455034,-0.9970940606678561
11900.0,-0.019507,0.019614,0.019614,0.7098805646036916,-0.027479270419088406,-0.02961122935662036,-1.4202077577941352,-0.9353329598705539,-0.9945447129601306
12000.0,-0.01944,0.019613,0.019613,0.7098443720593558,-0.027386284607148318,-0.02951102930901077,-1.41541529820497,-0.9321284225461289,-0.9911793198388824
12100.0,-0.019359,0.019614,0.019614,0.7098805646036916,-0.0272707846436219,-0.02938656836596163,-1.4094624663029685,-0.9282542804076452,-0.9869990822881616
12200.0,-0.019262,0.019616,0.019616,0.7099529496923634,-0.027131375407830338,-0.029236343167384757,-1.4022773580058232,-0.9236148756245226,-0.9819535073409461
12300.0,-0.019151,0.019619,0.019619,0.7100615273253711,-0.026970902186655793,-0.0290634197496475,-1.394006618507224,-0.9183058660273411,-0.976145573168867
12400.0,-0.019024,0.019622,0.019622,0.7101701049583786,-0.026787948221384156,-0.028866271435855358,-1.3845772285073081,-0.9122315937855207,-0.9695240036693507
12500.0,-0.018881,0.019626,0.019626,0.7103148751357221,-0.026581169367165997,-0.02864344979667167,-1.3739199112020297,-0.9053920588990615,-0.9620401508203402
12600.0,-0.018723,0.01963,0.01963,0.7104596453130656,-0.026353361691288837,-0.02839796783020318,-1.3621787750226044,-0.8978350902832536,-0.9537952114111053
12700.0,-0.01855,0.019635,0.019635,0.7106406080347448,-0.026103208556149733,-0.028128406748489154,-1.349285960879844,-0.8895606879380968,-0.9447415329768272
12800.0,-0.018363,0.01964,0.01964,0.7108215707564243,-0.02583348727087576,-0.027837759336137843,-1.3353846104152576,-0.8806166807788811,-0.934979633401222
12900.0,-0.01816,0.019645,0.019645,0.7110025334781035,-0.025541399847289384,-0.027523010525121648,-1.3203305161955596,-0.8709074109750264,-0.9244082463731229
