dt_yr,amp_sigma,min_persistence_yr,tol_yr,n_detected,n_ref,n_matched,recall,precision,f1,median_abs_age_error_yr,mean_abs_age_error_yr
50,0.22,90.0,100,81,68,15,0.22058823529411764,0.18518518518518517,0.20134228187919462,40.0,45.266666666666666
50,0.22,90.0,200,81,68,31,0.45588235294117646,0.38271604938271603,0.4161073825503355,109.0,103.80645161290323
50,0.22,90.0,300,81,68,38,0.5588235294117647,0.4691358024691358,0.5100671140939597,129.5,133.8684210526316
50,0.22,100.0,100,81,68,15,0.22058823529411764,0.18518518518518517,0.20134228187919462,40.0,45.266666666666666
50,0.22,100.0,200,81,68,31,0.45588235294117646,0.38271604938271603,0.4161073825503355,109.0,103.80645161290323
50,0.22,100.0,300,81,68,38,0.5588235294117647,0.4691358024691358,0.5100671140939597,129.5,133.8684210526316
50,0.22,110.0,100,69,68,13,0.19117647058823528,0.18840579710144928,0.18978102189781024,40.0,45.30769230769231
50,0.22,110.0,200,69,68,26,0.38235294117647056,0.37681159420289856,0.3795620437956205,104.0,100.6923076923077
50,0.22,110.0,300,69,68,34,0.5,0.4927536231884058,0.4963503649635037,144.5,140.2058823529412
50,0.22,120.0,100,69,68,13,0.19117647058823528,0.18840579710144928,0.18978102189781024,40.0,45.30769230769231
50,0.22,120.0,200,69,68,26,0.38235294117647056,0.37681159420289856,0.3795620437956205,104.0,100.6923076923077
50,0.22,120.0,300,69,68,34,0.5,0.4927536231884058,0.4963503649635037,144.5,140.2058823529412
50,0.22,130.0,100,69,68,13,0.19117647058823528,0.18840579710144928,0.18978102189781024,40.0,45.30769230769231
50,0.22,130.0,200,69,68,26,0.38235294117647056,0.37681159420289856,0.3795620437956205,104.0,100.6923076923077
50,0.22,130.0,300,69,68,34,0.5,0.4927536231884058,0.4963503649635037,144.5,140.2058823529412
50,0.22,140.0,100,69,68,13,0.19117647058823528,0.18840579710144928,0.18978102189781024,40.0,45.30769230769231
50,0.22,140.0,200,69,68,26,0.38235294117647056,0.37681159420289856,0.3795620437956205,104.0,100.6923076923077
50,0.22,140.0,300,69,68,34,0.5,0.4927536231884058,0.4963503649635037,144.5,140.2058823529412
50,0.22,150.0,100,69,68,13,0.19117647058823528,0.18840579710144928,0.18978102189781024,40.0,45.30769230769231
50,0.22,150.0,200,69,68,26,0.38235294117647056,0.37681159420289856,0.3795620437956205,104.0,100.6923076923077
50,0.22,150.0,300,69,68,34,0.5,0.4927536231884058,0.4963503649635037,144.5,140.2058823529412
50,0.22,200.0,100,59,68,11,0.16176470588235295,0.1864406779661017,0.1732283464566929,40.0,46.27272727272727
50,0.22,200.0,200,59,68,23,0.3382352941176471,0.3898305084745763,0.36220472440944884,109.0,106.47826086956522
50,0.22,200.0,300,59,68,30,0.4411764705882353,0.5084745762711864,0.47244094488188976,150.5,138.3
50,0.22,300.0,100,53,68,9,0.1323529411764706,0.16981132075471697,0.1487603305785124,50.0,52.22222222222222
50,0.22,300.0,200,53,68,21,0.3088235294117647,0.39622641509433965,0.34710743801652894,119.0,114.76190476190476
50,0.22,300.0,300,53,68,27,0.39705882352941174,0.5094339622641509,0.44628099173553715,151.0,143.7037037037037
50,0.22,400.0,100,49,68,8,0.11764705882352941,0.16326530612244897,0.13675213675213674,46.0,52.5
50,0.22,400.0,200,49,68,18,0.2647058823529412,0.3673469387755102,0.3076923076923077,124.0,114.5
50,0.22,400.0,300,49,68,24,0.35294117647058826,0.4897959183673469,0.4102564102564103,155.5,147.125
50,0.22,500.0,100,41,68,7,0.10294117647058823,0.17073170731707318,0.12844036697247704,41.0,55.57142857142857
50,0.22,500.0,200,41,68,14,0.20588235294117646,0.34146341463414637,0.2568807339449541,103.0,110.0
50,0.22,500.0,300,41,68,20,0.29411764705882354,0.4878048780487805,0.36697247706422015,160.5,150.5
50,0.23,0.0,100,79,68,15,0.22058823529411764,0.189873417721519,0.20408163265306123,40.0,45.266666666666666
50,0.23,0.0,200,79,68,32,0.47058823529411764,0.4050632911392405,0.43537414965986393,109.5,106.53125
50,0.23,0.0,300,79,68,39,0.5735294117647058,0.4936708860759494,0.5306122448979592,139.0,135.33333333333334
50,0.23,80.0,100,77,68,15,0.22058823529411764,0.19480519480519481,0.20689655172413793,40.0,45.266666666666666
50,0.23,80.0,200,77,68,32,0.47058823529411764,0.4155844155844156,0.4413793103448276,109.5,106.53125
50,0.23,80.0,300,77,68,39,0.5735294117647058,0.5064935064935064,0.5379310344827586,139.0,135.33333333333334
50,0.23,90.0,100,77,68,15,0.22058823529411764,0.19480519480519481,0.20689655172413793,40.0,45.266666666666666
50,0.23,90.0,200,77,68,32,0.47058823529411764,0.4155844155844156,0.4413793103448276,109.5,106.53125
50,0.23,90.0,300,77,68,39,0.5735294117647058,0.5064935064935064,0.5379310344827586,139.0,135.33333333333334
50,0.23,100.0,100,77,68,15,0.22058823529411764,0.19480519480519481,0.20689655172413793,40.0,45.266666666666666
50,0.23,100.0,200,77,68,32,0.47058823529411764,0.4155844155844156,0.4413793103448276,109.5,106.53125
50,0.23,100.0,300,77,68,39,0.5735294117647058,0.5064935064935064,0.5379310344827586,139.0,135.33333333333334
50,0.23,110.0,100,67,68,13,0.19117647058823528,0.19402985074626866,0.1925925925925926,40.0,45.30769230769231
50,0.23,110.0,200,67,68,27,0.39705882352941174,0.40298507462686567,0.4,109.0,104.03703703703704
50,0.23,110.0,300,67,68,35,0.5147058823529411,0.5223880597014925,0.5185185185185184,150.0,141.65714285714284
50,0.23,120.0,100,67,68,13,0.19117647058823528,0.19402985074626866,0.1925925925925926,40.0,45.30769230769231
50,0.23,120.0,200,67,68,27,0.39705882352941174,0.40298507462686567,0.4,109.0,104.03703703703704
50,0.23,120.0,300,67,68,35,0.5147058823529411,0.5223880597014925,0.5185185185185184,150.0,141.65714285714284
50,0.23,130.0,100,67,68,13,0.19117647058823528,0.19402985074626866,0.1925925925925926,40.0,45.30769230769231
50,0.23,130.0,200,67,68,27,0.39705882352941174,0.40298507462686567,0.4,109.0,104.03703703703704
50,0.23,130.0,300,67,68,35,0.5147058823529411,0.5223880597014925,0.5185185185185184,150.0,141.65714285714284
50,0.23,140.0,100,67,68,13,0.19117647058823528,0.19402985074626866,0.1925925925925926,40.0,45.30769230769231
50,0.23,140.0,200,67,68,27,0.39705882352941174,0.40298507462686567,0.4,109.0,104.03703703703704
50,0.23,140.0,300,67,68,35,0.5147058823529411,0.5223880597014925,0.5185185185185184,150.0,141.65714285714284
50,0.23,150.0,100,67,68,13,0.19117647058823528,0.19402985074626866,0.1925925925925926,40.0,45.30769230769231
50,0.23,150.0,200,67,68,27,0.39705882352941174,0.40298507462686567,0.4,109.0,104.03703703703704
50,0.23,150.0,300,67,68,35,0.5147058823529411,0.5223880597014925,0.5185185185185184,150.0,141.65714285714284
50,0.23,200.0,100,59,68,11,0.16176470588235295,0.1864406779661017,0.1732283464566929,40.0,46.27272727272727
50,0.23,200.0,200,59,68,23,0.3382352941176471,0.3898305084745763,0.36220472440944884,109.0,106.47826086956522
50,0.23,200.0,300,59,68,30,0.4411764705882353,0.5084745762711864,0.47244094488188976,150.5,138.3
50,0.23,300.0,100,53,68,9,0.1323529411764706,0.16981132075471697,0.1487603305785124,50.0,52.22222222222222
50,0.23,300.0,200,53,68,21,0.3088235294117647,0.39622641509433965,0.34710743801652894,119.0,114.76190476190476
50,0.23,300.0,300,53,68,27,0.39705882352941174,0.5094339622641509,0.44628099173553715,151.0,143.7037037037037
